initial_r_1,initial_r_2,initial_r_3,initial_r_4,initial_r_5,r_1,r_2,r_3,r_4,r_5,ED_1,ED_2,ED_3,ED_4,ED_5,initial_a_1,initial_a_2,initial_a_3,initial_a_4,initial_a_5,initial_a_6,initial_a_7,initial_a_8,initial_a_9,initial_a_10,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,EA_1,EA_2,EA_3,EA_4,EA_5,EA_6,EA_7,EA_8,EA_9,EA_10,ED_vec_max,EA_vec_max,Algo,Converged,Iterations
0.01,0.01,0.01,0.01,0.01,2.978411232260277,2.987053676039562,2.9930514215961628,2.9968737137266297,2.9990105777635914,-4.867217739956686e-13,9.237055564881302e-14,-2.0250467969162855e-13,-3.836930773104541e-13,6.394884621840902e-14,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13.519164739367488,15.240680757319073,17.26596570296442,19.63039203765064,22.373071206111536,3.473316784699765,3.8591781936410006,4.338348635429262,4.915105659617411,5.594792438655044,1.9539925233402755e-14,-4.991562718714704e-13,4.583000645652646e-13,-2.877698079828406e-13,1.4566126083082054e-13,-8.304468224196171e-14,2.744471316873387e-13,9.592326932761353e-14,5.373479439185758e-13,-6.226130722097878e-13,4.867217739956686e-13,6.226130722097878e-13,LBFGS,0.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602683,2.987053676039567,2.993051421596164,2.9968737137266297,2.9990105777635914,-2.1316282072803006e-13,-7.247535904753022e-13,-1.7053025658242404e-13,-2.1316282072803006e-14,-2.8066438062523957e-13,3.0,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,13.519164739366504,15.240680757319051,17.265965702965513,19.630392037649585,22.373071206110225,3.473316784698561,3.8591781936416067,4.3383486354294005,4.9151056596179865,5.594792438654829,3.481659405224491e-13,-1.2967404927621828e-13,2.4868995751603507e-14,7.744915819785092e-13,1.0800249583553523e-12,1.0023093466315913e-12,-2.686739719592879e-13,1.1812772982011666e-13,-3.6415315207705135e-14,-5.018208071305708e-13,7.247535904753022e-13,1.0800249583553523e-12,LBFGS,0.0,2.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602736,2.987053676039563,2.993051421596163,2.9968737137266293,2.9990105777635914,-2.6290081223123707e-13,-1.4210854715202004e-13,-2.842170943040401e-14,-3.552713678800501e-15,-1.3500311979441904e-13,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,13.519164739366978,15.240680757318131,17.265965702965968,19.630392037649663,22.37307120611205,3.473316784699504,3.8591781936414025,4.338348635429179,4.915105659617767,5.594792438654442,2.824407374646398e-13,2.5934809855243657e-13,-4.689582056016661e-13,4.902744876744691e-13,-3.552713678800501e-13,1.3455903058456897e-13,-1.7674750552032492e-13,3.3217872896784684e-13,1.3322676295501878e-13,-1.7763568394002505e-14,2.6290081223123707e-13,4.902744876744691e-13,LBFGS,1.0,5.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602745,2.987053676039562,2.9930514215961628,2.9968737137266293,2.999010577763591,-1.2079226507921703e-13,4.263256414560601e-14,4.618527782440651e-14,1.7053025658242404e-13,8.526512829121202e-14,3.0,3.0,3.0,3.0,3.0,3.0,0.75,0.75,0.75,0.75,13.519164739367854,15.240680757318321,17.265965702965246,19.630392037650214,22.373071206110968,3.4733167846996746,3.8591781936413994,4.338348635429409,4.915105659617903,5.594792438654064,-1.829647544582258e-13,1.474376176702208e-13,7.105427357601002e-14,2.1671553440683056e-13,1.5987211554602254e-13,6.128431095930864e-14,-1.5054624213917123e-13,5.861977570020827e-14,6.661338147750939e-14,2.1938006966593093e-13,1.7053025658242404e-13,2.1938006966593093e-13,LBFGS,1.0,2.0
0.01,0.01,0.01,0.01,0.01,2.978411232260272,2.987053676039559,2.993051421596163,2.9968737137266297,2.999010577763591,2.1316282072803006e-13,-8.881784197001252e-14,2.4868995751603507e-13,-1.4210854715202004e-14,1.5987211554602254e-13,3.0,3.0,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,13.519164739367932,15.240680757317252,17.26596570296544,19.630392037650534,22.37307120611106,3.4733167846994646,3.8591781936407643,4.338348635429812,4.915105659618104,5.594792438654122,-2.575717417130363e-13,6.004086117172847e-13,1.4921397450962104e-13,1.4566126083082054e-13,1.7763568394002505e-13,2.8688162956314045e-13,3.4416913763379853e-13,-2.779998453661392e-13,-7.37188088351104e-14,1.8918200339612667e-13,2.4868995751603507e-13,6.004086117172847e-13,LBFGS,1.0,2.0
0.01,0.01,0.01,0.01,0.01,2.978411232260275,2.9870536760395607,2.993051421596163,2.9968737137266306,2.9990105777635914,-1.1013412404281553e-13,-1.6342482922482304e-13,-2.7711166694643907e-13,-3.339550858072471e-13,-1.1368683772161603e-13,3.0,3.0,3.0,3.0,3.0,1.5,3.0,3.0,3.0,3.0,13.519164739367115,15.240680757317406,17.26596570296475,19.630392037650456,22.373071206111774,3.4733167846996635,3.8591781936408327,4.338348635429218,4.915105659618472,5.594792438654419,3.090860900556436e-13,5.453415496958769e-13,3.517186542012496e-13,3.659295089164516e-13,-9.592326932761353e-14,1.0658141036401503e-14,2.935429677108914e-13,1.9451107391432743e-13,-4.0945025148175773e-13,8.881784197001252e-16,3.339550858072471e-13,5.453415496958769e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.978411232260271,2.9870536760395643,2.993051421596166,2.9968737137266297,2.9990105777635914,-3.552713678800501e-15,-6.856737400084967e-13,-5.577760475716786e-13,-8.526512829121202e-14,-3.552713678800501e-14,3.0,3.0,3.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,13.519164739366767,15.240680757318579,17.265965702965783,19.63039203765015,22.373071206111863,3.4733167846991386,3.859178193641126,4.338348635430093,4.915105659617908,5.594792438654675,2.3092638912203256e-13,-2.0250467969162855e-13,-8.526512829121202e-14,1.5987211554602254e-13,-2.4513724383723456e-13,4.4986236957811343e-13,8.837375276016246e-14,-5.426770144367765e-13,2.930988785010413e-14,-2.7000623958883807e-13,6.856737400084967e-13,5.426770144367765e-13,LBFGS,0.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602745,2.9870536760395616,2.9930514215961628,2.996873713726628,2.9990105777635914,8.846257060213247e-13,-8.881784197001252e-14,-3.588240815588506e-13,3.019806626980426e-13,-3.410605131648481e-13,3.0,3.0,3.0,3.0,3.0,1.5,1.0,1.0,1.0,1.0,13.519164739368167,15.24068075731853,17.265965702965484,19.630392037649244,22.373071206111565,3.473316784700229,3.8591781936411396,4.338348635428979,4.915105659616889,5.594792438654513,-1.3500311979441904e-13,-5.684341886080802e-14,-2.1671553440683056e-13,4.298783551348606e-13,3.552713678800501e-15,-3.97015753605956e-13,1.1191048088221578e-13,4.760636329592671e-13,8.952838470577262e-13,-1.2079226507921703e-13,8.846257060213247e-13,8.952838470577262e-13,LBFGS,1.0,2.0
0.01,0.01,0.01,0.01,0.01,2.978411232260273,2.987053676039562,2.9930514215961628,2.9968737137266297,2.999010577763591,-1.8829382497642655e-13,2.1316282072803006e-14,3.019806626980426e-13,2.4868995751603507e-13,7.105427357601002e-14,3.0,3.0,3.0,3.0,3.0,1.5,0.75,0.75,0.75,0.75,13.519164739367554,15.240680757318321,17.265965702965637,19.630392037650754,22.373071206111764,3.473316784699606,3.8591781936415237,4.338348635429694,4.915105659618547,5.594792438653944,-1.5987211554602254e-13,4.440892098500626e-14,-2.3447910280083306e-13,-5.684341886080802e-14,-6.004086117172847e-13,6.794564910705958e-14,-3.0020430585864233e-13,-2.0339285811132868e-13,-5.124789481669723e-13,3.481659405224491e-13,3.019806626980426e-13,6.004086117172847e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602763,2.987053676039562,2.9930514215961654,2.9968737137266297,2.9990105777635914,-6.217248937900877e-13,8.171241461241152e-14,-3.588240815588506e-13,-3.055333763768431e-13,-3.765876499528531e-13,3.0,3.0,3.0,3.0,3.0,1.5,0.6,0.6,0.6,0.6,13.519164739367392,15.240680757318117,17.26596570296596,19.630392037649454,22.373071206111216,3.4733167846993935,3.859178193641075,4.338348635429834,4.915105659617761,5.594792438654233,8.881784197001252e-15,1.865174681370263e-13,-1.6697754290362354e-13,6.679101716144942e-13,1.3855583347321954e-13,2.651212582804874e-13,1.3322676295501878e-13,-2.575717417130363e-13,1.2967404927621828e-13,1.0658141036401503e-13,6.217248937900877e-13,6.679101716144942e-13,LBFGS,1.0,2.0
0.01,0.01,0.01,0.01,0.01,2.978411232260263,2.987053676039558,2.993051421596162,2.9968737137266297,2.999010577763591,5.044853423896711e-13,4.654054919228656e-13,1.5987211554602254e-13,3.019806626980426e-13,1.9895196601282805e-13,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,13.51916473936657,15.24068075731782,17.265965702964664,19.630392037651266,22.373071206111575,3.4733167846987167,3.8591781936409357,4.338348635429445,4.915105659618303,5.594792438653953,4.1033842990145786e-13,4.156675004196586e-13,5.613287612504791e-13,-1.0658141036401503e-13,-8.881784197001252e-14,9.063860773039778e-13,2.7355895326763857e-13,3.552713678800501e-15,-1.5276668818842154e-13,4.2010839251815923e-13,5.044853423896711e-13,9.063860773039778e-13,LBFGS,1.0,2.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602976,2.9870536760395603,2.99305142159616,2.996873713726632,2.9990105777635914,-1.2612133559741778e-12,-3.339550858072471e-13,-3.694822225952521e-13,-1.1830536550405668e-12,3.481659405224491e-13,3.0,3.0,3.0,3.0,3.0,1.0,1.5,1.5,1.5,1.5,13.519164739368058,15.240680757316703,17.265965702962852,19.63039203765023,22.373071206112797,3.4733167847020607,3.8591781936403837,4.338348635427653,4.915105659618743,5.594792438654152,5.293543381412746e-13,8.43769498715119e-13,9.485745522397337e-13,6.536993168992922e-13,-7.531752999057062e-13,-2.211564265053312e-12,6.434852650727407e-13,1.4477308241112041e-12,-6.696865284538944e-13,3.597122599785507e-13,1.2612133559741778e-12,2.211564265053312e-12,LBFGS,1.0,2.0
0.01,0.01,0.01,0.01,0.01,2.978411232260273,2.9870536760395594,2.993051421596162,2.9968737137266306,2.9990105777635914,-4.192202140984591e-13,-3.375077994860476e-13,2.4513724383723456e-13,2.5934809855243657e-13,1.0302869668521453e-13,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,13.519164739367248,15.240680757316365,17.265965702964365,19.630392037651905,22.373071206112222,3.473316784699364,3.8591781936408593,4.338348635429348,4.915105659618836,5.594792438654829,4.618527782440651e-14,1.106670310946356e-12,5.471179065352771e-13,-4.725109192804666e-13,-3.232969447708456e-13,2.8377300509419e-13,1.532107773982716e-13,2.3092638912203256e-14,-6.199485369506874e-13,-3.5349501104064984e-13,4.192202140984591e-13,1.106670310946356e-12,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602776,2.9870536760395634,2.993051421596163,2.9968737137266297,2.999010577763591,3.446132268436486e-13,-1.5631940186722204e-13,-2.6645352591003757e-13,3.801403636316536e-13,-2.5579538487363607e-13,3.0,3.0,3.0,3.0,3.0,1.0,0.75,0.75,0.75,0.75,13.51916473936819,15.24068075731883,17.265965702964763,19.63039203765097,22.37307120611081,3.473316784700416,3.8591781936415424,4.33834863542964,4.915105659618529,5.594792438653901,-2.7000623958883807e-13,-2.7711166694643907e-13,2.5934809855243657e-13,-2.0961010704922955e-13,-6.039613253960852e-14,-6.288303211476887e-13,-2.788880237858393e-13,-2.4780177909633494e-13,-4.778399897986674e-13,2.886579864025407e-13,3.801403636316536e-13,6.288303211476887e-13,LBFGS,0.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602776,2.9870536760395607,2.9930514215961606,2.9968737137266297,2.9990105777635914,1.6342482922482304e-13,-3.694822225952521e-13,-7.815970093361102e-14,3.410605131648481e-13,-7.815970093361102e-14,3.0,3.0,3.0,3.0,3.0,1.0,0.6,0.6,0.6,0.6,13.519164739367733,15.240680757317454,17.265965702964724,19.6303920376513,22.37307120611247,3.473316784700363,3.859178193640947,4.3383486354282566,4.915105659618196,5.5947924386545065,7.283063041541027e-14,4.4231285301066237e-13,-1.2434497875801753e-13,-4.050093593832571e-13,-6.608047442568932e-13,-6.052935930256353e-13,1.6475709685437323e-13,1.0409451078885468e-12,-1.1191048088221578e-13,-5.417888360170764e-14,3.694822225952521e-13,1.0409451078885468e-12,LBFGS,1.0,4.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602683,2.9870536760395643,2.993051421596163,2.9968737137266297,2.999010577763591,3.623767952376511e-13,2.5224267119483557e-13,1.4921397450962104e-13,-1.3500311979441904e-13,1.9895196601282805e-13,3.0,3.0,3.0,3.0,3.0,0.75,3.0,3.0,3.0,3.0,13.51916473936601,15.240680757319092,17.265965702965378,19.630392037650143,22.373071206111117,3.4733167846995605,3.859178193642124,4.338348635429894,4.915105659618325,5.594792438654402,8.686384944667225e-13,-1.1546319456101628e-13,1.0302869668521453e-13,3.375077994860476e-13,1.0658141036401503e-13,1.3766765505351941e-14,-7.576161920042068e-13,-3.872457909892546e-13,-3.446132268436486e-13,-9.414691248821327e-14,3.623767952376511e-13,8.686384944667225e-13,LBFGS,1.0,5.0
0.01,0.01,0.01,0.01,0.01,2.978411232260273,2.9870536760395643,2.993051421596164,2.9968737137266297,2.999010577763591,-2.3092638912203256e-13,-2.948752353404416e-13,-3.517186542012496e-13,-2.0605739337042905e-13,1.5987211554602254e-13,3.0,3.0,3.0,3.0,3.0,0.75,1.5,1.5,1.5,1.5,13.519164739366815,15.240680757318733,17.26596570296606,19.630392037650665,22.3730712061108,3.473316784699409,3.859178193641407,4.33834863542923,4.915105659617531,5.594792438654016,3.694822225952521e-13,-8.704148513061227e-14,-4.725109192804666e-13,-1.8118839761882555e-13,2.7355895326763857e-13,2.1360690993788012e-13,-1.2434497875801753e-13,3.0020430585864233e-13,4.503064587879635e-13,2.540190280342358e-13,3.517186542012496e-13,4.725109192804666e-13,LBFGS,1.0,2.0
0.01,0.01,0.01,0.01,0.01,2.978411232260272,2.9870536760395603,2.9930514215961628,2.9968737137266297,2.999010577763591,-7.815970093361102e-14,2.4513724383723456e-13,-1.4210854715202004e-14,2.2026824808563106e-13,4.618527782440651e-13,3.0,3.0,3.0,3.0,3.0,0.75,1.0,1.0,1.0,1.0,13.519164739366941,15.24068075731824,17.2659657029652,19.630392037651312,22.373071206111526,3.4733167846996666,3.859178193641262,4.3383486354296075,4.915105659618304,5.59479243865469,2.824407374646398e-13,4.085620730620576e-14,4.263256414560601e-14,-4.334310688136611e-13,-9.947598300641403e-14,-2.7533531010703882e-14,-5.1514348342607263e-14,-1.580957587066223e-13,-2.2382096176443156e-13,-3.3217872896784684e-13,4.618527782440651e-13,4.334310688136611e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.978411232260268,2.9870536760395594,2.993051421596162,2.9968737137266306,2.999010577763591,1.5987211554602254e-13,-7.460698725481052e-14,2.8421709430404007e-13,-1.2079226507921703e-13,1.3500311979441904e-13,3.0,3.0,3.0,3.0,3.0,0.75,0.75,0.75,0.75,0.75,13.51916473936604,15.240680757318437,17.26596570296579,19.630392037651625,22.37307120611109,3.473316784699214,3.8591781936405156,4.33834863542894,4.91510565961853,5.594792438654003,8.260059303211165e-13,-1.936228954946273e-13,-3.765876499528531e-13,-3.268496584496461e-13,1.3500311979441904e-13,3.574918139293004e-13,6.874500968478969e-13,5.559996907322784e-13,-3.481659405224491e-13,3.0464519795714295e-13,2.8421709430404007e-13,8.260059303211165e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.978411232260271,2.9870536760395616,2.9930514215961646,2.9968737137266297,2.999010577763591,-2.4513724383723456e-13,3.481659405224491e-13,-1.3145040611561853e-13,2.4868995751603507e-13,-1.9895196601282805e-13,3.0,3.0,3.0,3.0,3.0,0.75,0.6,0.6,0.6,0.6,13.519164739366136,15.240680757318408,17.26596570296556,19.63039203765105,22.373071206110183,3.4733167846993735,3.859178193641381,4.338348635430018,4.915105659618035,5.594792438653884,8.242295734817162e-13,1.616484723854228e-13,1.7763568394002505e-13,-1.4210854715202004e-13,6.536993168992922e-13,2.0383694732117874e-13,-1.0391687510491465e-13,-4.511946372076636e-13,5.1514348342607263e-14,3.268496584496461e-13,3.481659405224491e-13,8.242295734817162e-13,LBFGS,0.0,1.0
0.01,0.01,0.01,0.01,0.01,2.978411232260272,2.987053676039566,2.9930514215961646,2.9968737137266297,2.9990105777635914,-2.5934809855243657e-13,-6.821210263296962e-13,-4.547473508864641e-13,-3.552713678800501e-15,-1.7763568394002505e-13,3.0,3.0,3.0,3.0,3.0,0.6,3.0,3.0,3.0,3.0,13.519164739366822,15.240680757318362,17.265965702965232,19.630392037650168,22.373071206111863,3.4733167846990374,3.8591781936416067,4.338348635429522,4.915105659617831,5.594792438654229,2.362554596402333e-13,1.971756091734278e-13,1.3500311979441904e-13,2.4868995751603507e-13,-2.8421709430404007e-13,5.59996493620929e-13,-3.5438318946034997e-13,-4.796163466380676e-14,1.3322676295501878e-13,1.6608936448392342e-13,6.821210263296962e-13,5.59996493620929e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602723,2.9870536760395616,2.993051421596164,2.9968737137266284,2.9990105777635914,1.0658141036401503e-13,4.973799150320701e-14,3.161915174132446e-13,2.3092638912203256e-13,-3.161915174132446e-13,3.0,3.0,3.0,3.0,3.0,0.6,1.5,1.5,1.5,1.5,13.519164739367781,15.240680757318165,17.265965702966042,19.630392037649603,22.37307120611216,3.473316784699549,3.859178193641425,4.3383486354302505,4.915105659617349,5.59479243865449,-2.7355895326763857e-13,1.3855583347321954e-13,-2.2026824808563106e-13,2.1316282072803006e-13,-5.684341886080801e-13,1.5898393712632242e-13,-2.149391775674303e-13,-6.59916565837193e-13,4.698463840213662e-13,-9.14823772291129e-14,3.161915174132446e-13,6.59916565837193e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.978411232260275,2.9870536760395607,2.9930514215961628,2.9968737137266297,2.9990105777635914,1.8474111129762605e-13,-2.5579538487363607e-13,1.6697754290362354e-13,7.460698725481052e-14,-3.268496584496461e-13,3.0,3.0,3.0,3.0,3.0,0.6,1.0,1.0,1.0,1.0,13.519164739366875,15.240680757318415,17.265965702965637,19.630392037650694,22.373071206111447,3.473316784700126,3.85917819364073,4.338348635429355,4.915105659618124,5.594792438654673,5.151434834260726e-13,-2.3447910280083306e-13,-2.6645352591003757e-13,-7.815970093361102e-14,7.105427357601002e-15,-4.574118861455645e-13,4.5208281562736374e-13,1.2612133559741778e-13,-1.1013412404281553e-13,-3.090860900556436e-13,3.268496584496461e-13,5.151434834260726e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602763,2.987053676039562,2.9930514215961628,2.9968737137266297,2.9990105777635914,-2.4868995751603507e-14,-1.7053025658242404e-13,-2.8066438062523957e-13,1.0658141036401503e-13,-1.1723955140041653e-13,3.0,3.0,3.0,3.0,3.0,0.6,0.75,0.75,0.75,0.75,13.519164739367602,15.240680757318254,17.26596570296533,19.630392037650246,22.373071206111963,3.473316784699989,3.8591781936411707,4.338348635429014,4.915105659618324,5.594792438654734,-2.1316282072803006e-14,-1.0658141036401503e-14,-2.5579538487363607e-13,2.2382096176443156e-13,-3.375077994860476e-13,-2.8199664825478976e-13,2.1760371282653068e-14,3.934630399271555e-13,-3.4638958368304884e-13,-3.268496584496461e-13,2.8066438062523957e-13,3.934630399271555e-13,LBFGS,0.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602705,2.9870536760395576,2.993051421596164,2.9968737137266293,2.9990105777635914,1.5987211554602254e-13,-5.222489107836736e-13,-2.7000623958883807e-13,4.511946372076636e-13,3.268496584496461e-13,3.0,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,0.6,13.519164739367788,15.240680757317394,17.265965702966128,19.630392037650168,22.37307120611232,3.473316784699235,3.859178193640027,4.338348635429626,4.915105659618366,5.594792438655342,-3.7125857943465235e-13,1.0302869668521453e-13,-5.009326287108706e-13,2.984279490192421e-13,-2.948752353404416e-13,4.591882429849647e-13,9.974243653232406e-13,-8.615330671091215e-14,-3.872457909892546e-13,-8.348877145181177e-13,5.222489107836736e-13,9.974243653232406e-13,LBFGS,0.0,1.0
